Time,Coin,Side,Entry,Exit,PnL,AI Score,Confidence,Reason
2026-07-16 23:52:33,SOL/USDT,SELL,76.26,75.89,2.44,67.88,67.88,15M : 🔴 SELL (75%) | 1H : 🔴 SELL (100%) | 4H : 🔴 SELL (100%) | Volume : 🔴 Low Volume | Candlestick : NONE | Market Strength : Bull 100.0% | Bear 0.0% | AI Score : 67.88% | Decision : 🔴 SCALP SELL
2026-07-17 00:19:33,SOL/USDT,SELL,75.89,75.66,1.53,71.12,71.12,15M : 🔴 SELL (100%) | 1H : 🔴 SELL (100%) | 4H : 🔴 SELL (100%) | Volume : 🔴 Low Volume | Candlestick : NONE | Market Strength : Bull 100.0% | Bear 0.0% | AI Score : 71.12% | Decision : 🔴 SCALP SELL
2026-07-17 04:57:53,SOL/USDT,SELL,75.66,75.19,3.14,71.12,71.12,15M : 🔴 SELL (100%) | 1H : 🔴 SELL (100%) | 4H : 🔴 SELL (100%) | Volume : 🔴 Low Volume | Candlestick : NONE | Market Strength : Bull 100.0% | Bear 0.0% | AI Score : 71.12% | Decision : 🔴 SCALP SELL
2026-07-17 06:08:53,SOL/USDT,SELL,75.22,75.21,0.07,75.5,75.5,15M : 🔴 SELL (100%) | 1H : 🔴 SELL (100%) | 4H : 🔴 SELL (100%) | Volume : 🟢 Very High Volume | Candlestick : BEARISH ENGULFING | Market Strength : Bull 100.0% | Bear 0.0% | AI Score : 75.5% | Decision : 🔴 SCALP SELL
2026-07-17 06:08:53,SOL/USDT,SELL,75.22,75.21,0.07,75.5,75.5,15M : 🔴 SELL (100%) | 1H : 🔴 SELL (100%) | 4H : 🔴 SELL (100%) | Volume : 🟢 Very High Volume | Candlestick : BEARISH ENGULFING | Market Strength : Bull 100.0% | Bear 0.0% | AI Score : 75.5% | Decision : 🔴 SCALP SELL
2026-07-17 07:30:53,SOL/USDT,SELL,75.2,75.18,0.14,75.5,75.5,15M : 🔴 SELL (100%) | 1H : 🔴 SELL (100%) | 4H : 🔴 SELL (100%) | Volume : 🟢 Very High Volume | Candlestick : BEARISH ENGULFING | Market Strength : Bull 100.0% | Bear 0.0% | AI Score : 75.5% | Decision : 🔴 SCALP SELL
2026-07-17 08:27:53,SOL/USDT,SELL,75.11,74.96,1.02,71.12,71.12,15M : 🔴 SELL (100%) | 1H : 🔴 SELL (100%) | 4H : 🔴 SELL (100%) | Volume : 🔴 Low Volume | Candlestick : NONE | Market Strength : Bull 100.0% | Bear 0.0% | AI Score : 71.12% | Decision : 🔴 SCALP SELL
2026-07-17 09:53:53,SOL/USDT,SELL,74.98,74.92,0.41,72.7,72.7,15M : 🔴 SELL (100%) | 1H : 🔴 SELL (100%) | 4H : 🔴 SELL (100%) | Volume : 🟡 Normal Volume | Candlestick : NONE | Market Strength : Bull 100.0% | Bear 0.0% | AI Score : 72.7% | Decision : 🔴 SCALP SELL
2026-07-17 11:08:55,SOL/USDT,SELL,74.93,74.88,0.34,74.8,74.8,15M : 🔴 SELL (100%) | 1H : 🔴 SELL (100%) | 4H : 🔴 SELL (100%) | Volume : 🟢 Very High Volume | Candlestick : NONE | Market Strength : Bull 100.0% | Bear 0.0% | AI Score : 74.8% | Decision : 🔴 SCALP SELL
2026-07-17 11:09:54,ADA/USDT,SELL,0.16,0.16,0.0,73.75,73.75,15M : 🔴 SELL (100%) | 1H : 🔴 SELL (100%) | 4H : 🔴 SELL (100%) | Volume : 🟢 High Volume | Candlestick : NONE | Market Strength : Bull 100.0% | Bear 0.0% | AI Score : 73.75% | Decision : 🔴 SCALP SELL
2026-07-17 11:33:41,SOL/USDT,SELL,74.74,74.53,1.44,74.8,74.8,15M : 🔴 SELL (100%) | 1H : 🔴 SELL (100%) | 4H : 🔴 SELL (100%) | Volume : 🟢 Very High Volume | Candlestick : NONE | Market Strength : Bull 100.0% | Bear 0.0% | AI Score : 74.8% | Decision : 🔴 SCALP SELL
